1129645694 R53-M1-NC J18-U01  no ethernet link
1129645797 R15-M0-N6 J15-U01  DDR failing info register: 0x00000000
1129645797 R15-M0-N6 J15-U01  capture valid.........0
1129645797 R15-M0-N6 J15-U01  symbol................0
1129645798 R15-M0-N6 J15-U01  mask..................0x00
1129645798 R15-M0-N6 J15-U01  miscompare............0
1129645798 R15-M0-N6 J15-U01  uncorrectable error...0
1129645798 R15-M0-N6 J15-U01  address parity error..0
1129645799 R15-M0-N6 J15-U01  correctable error.....0
1129645799 R15-M0-N6 J15-U01  qw trapped............0
1129645799 R15-M0-N6 J15-U01  chip select...........0
1129645799 R15-M0-N6 J15-U01  DDR failing data registers: 0x93c10048 0x7c7e1b78
1129645800 R15-M0-N6 J15-U01  0x93e1004c 0x3be00000
1129645800 R15-M0-N6 J15-U01  0x281f003f 0x3d200002
1129645800 R15-M0-N6 J15-U01  0x38c97bc8 0x4bfff870
1129645800 R15-M0-N6 J15-U01  DDR failing address register: 0x00000000 0x00014860
1129645801 R15-M0-N6 J15-U01  general purpose registers:
1129645801 R15-M0-N6 J15-U01  0:00000001 1:1feaa390 2:1eeeeeee 3:00000000
1129645801 R15-M0-N6 J15-U01  4:001f7640 5:00300c80 6:00300c90 7:00300d60
1129645801 R15-M0-N6 J15-U01  8:00000010 9:00000002 10:00108e70 11:001e0000
1129645802 R15-M0-N6 J15-U01  12:44002044 13:1eeeeeee 14:40000000 15:40000000
1129645802 R15-M0-N6 J15-U01  16:00000000 17:000047cc 18:00000000 19:1feaa7f0
1129645802 R15-M0-N6 J15-U01  20:011f7f20 21:001f7f00 22:1feaa540 23:1feaa530
1129645802 R15-M0-N6 J15-U01  24:00000008 25:021f845c 26:00000000 27:021f8380
1129645802 R15-M0-N6 J15-U01  28:021f84a4 29:00000000 30:00000000 31:0000001f
1129645803 R15-M0-N6 J15-U01  special purpose registers:
1129645803 R15-M0-N6 J15-U01  lr:0013bc70 cr:84002044 xer:00000002 ctr:001427e4
1129645804 R15-M0-N6 J15-U01  rts panic! - stopping execution
