1133574290 R40-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43789, Link has been severed
1133574299 R46-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43872, Link has been severed
1133574299 R54-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43969, Link has been severed
1133574299 R54-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43968, Link has been severed
1133574300 R41-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43803, Link has been severed
1133574300 R41-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43802, Link has been severed
1133574300 R41-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43799, Link has been severed
1133574300 R41-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43798, Link has been severed
1133574300 R41-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43801, Link has been severed
1133574301 R41-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43800, Link has been severed
1133574301 R54-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43981, Link has been severed
1133574301 R54-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43980, Link has been severed
1133574301 R54-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43979, Link has been severed
1133574301 R54-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43978, Link has been severed
1133574301 R53-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43953, Link has been severed
1133574301 R53-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43952, Link has been severed
1133574302 R41-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43795, Link has been severed
1133574302 R41-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43794, Link has been severed
1133574302 R41-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43793, Link has been severed
1133574302 R53-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43957, Link has been severed
1133574302 R53-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43956, Link has been severed
1133574302 R54-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43971, Link has been severed
1133574302 R54-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43970, Link has been severed
1133574303 R54-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43972, Link has been severed
1133574303 R56-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44005, Link has been severed
1133574303 R56-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44004, Link has been severed
1133574303 R55-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43997, Link has been severed
1133574303 R55-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43996, Link has been severed
1133574303 R53-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43963, Link has been severed
1133574303 R53-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43962, Link has been severed
1133574304 R56-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44009, Link has been severed
1133574304 R56-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44008, Link has been severed
1133574304 R56-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44003, Link has been severed
1133574304 R56-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44002, Link has been severed
1133574304 R56-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44000, Link has been severed
1133574304 R51-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43933, Link has been severed
1133574305 R51-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43932, Link has been severed
1133574305 R55-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43988, Link has been severed
1133574305 R51-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43935, Link has been severed
1133574305 R51-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43934, Link has been severed
1133574305 R54-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43983, Link has been severed
1133574305 R54-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43982, Link has been severed
1133574305 R54-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43977, Link has been severed
1133574306 R54-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43976, Link has been severed
1133574306 R53-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43955, Link has been severed
1133574306 R53-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43954, Link has been severed
1133574306 R53-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43958, Link has been severed
1133574306 R56-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44007, Link has been severed
1133574306 R56-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44006, Link has been severed
1133574306 R51-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43929, Link has been severed
1133574307 R51-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43928, Link has been severed
1133574307 R53-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43961, Link has been severed
1133574307 R53-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43960, Link has been severed
1133574307 R53-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43967, Link has been severed
1133574307 R53-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43966, Link has been severed
1133574307 R53-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43965, Link has been severed
1133574308 R53-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43964, Link has been severed
1133574308 R55-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43986, Link has been severed
1133574308 R45-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43867, Link has been severed
1133574308 R45-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43866, Link has been severed
1133574308 R45-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43859, Link has been severed
1133574308 R45-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43858, Link has been severed
1133574308 R45-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43864, Link has been severed
1133574309 R41-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43805, Link has been severed
1133574309 R44-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43841, Link has been severed
1133574309 R44-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43840, Link has been severed
1133574309 R44-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43847, Link has been severed
1133574309 R44-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43846, Link has been severed
1133574310 R44-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43852, Link has been severed
1133574310 R55-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43991, Link has been severed
1133574310 R55-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43990, Link has been severed
1133574310 R51-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43931, Link has been severed
1133574310 R44-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43849, Link has been severed
1133574311 R44-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43848, Link has been severed
1133574311 R44-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43855, Link has been severed
1133574311 R44-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43854, Link has been severed
1133574311 R55-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43998, Link has been severed
1133574311 R40-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43785, Link has been severed
1133574311 R40-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43784, Link has been severed
1133574311 R42-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43813, Link has been severed
1133574312 R43-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43839, Link has been severed
1133574312 R43-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43838, Link has been severed
1133574312 R42-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43819, Link has been severed
1133574312 R42-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43818, Link has been severed
1133574312 R44-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43843, Link has been severed
1133574312 R44-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43842, Link has been severed
1133574313 R45-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43869, Link has been severed
1133574313 R45-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43868, Link has been severed
1133574313 R40-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43777, Link has been severed
1133574313 R40-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43776, Link has been severed
1133574313 R40-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43779, Link has been severed
1133574313 R40-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43778, Link has been severed
1133574313 R42-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43815, Link has been severed
1133574314 R42-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43814, Link has been severed
1133574314 R40-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43781, Link has been severed
1133574314 R40-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43780, Link has been severed
1133574314 R51-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43923, Link has been severed
1133574314 R51-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43922, Link has been severed
1133574315 R51-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43921, Link has been severed
1133574315 R50-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43917, Link has been severed
1133574315 R50-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43916, Link has been severed
1133574315 R52-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43951, Link has been severed
1133574315 R52-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43950, Link has been severed
1133574315 R40-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43782, Link has been severed
1133574315 R50-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43910, Link has been severed
1133574316 R45-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43856, Link has been severed
1133574316 R42-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43823, Link has been severed
1133574316 R42-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43822, Link has been severed
1133574316 R47-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43891, Link has been severed
1133574316 R47-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43890, Link has been severed
1133574316 R40-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43791, Link has been severed
1133574317 R40-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43790, Link has been severed
1133574317 R51-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43927, Link has been severed
1133574317 R51-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43926, Link has been severed
1133574317 R56-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44015, Link has been severed
1133574317 R56-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44014, Link has been severed
1133574317 R41-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43797, Link has been severed
1133574318 R46-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43885, Link has been severed
1133574318 R52-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43949, Link has been severed
1133574318 R52-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43948, Link has been severed
1133574318 R50-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43919, Link has been severed
1133574318 R47-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43893, Link has been severed
1133574318 R47-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43892, Link has been severed
1133574319 R52-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43945, Link has been severed
1133574319 R52-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43944, Link has been severed
1133574319 R41-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43807, Link has been severed
1133574319 R41-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43806, Link has been severed
1133574319 R55-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43994, Link has been severed
1133574320 R43-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43827, Link has been severed
1133574320 R43-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43826, Link has been severed
1133574320 R43-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43833, Link has been severed
1133574320 R43-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43832, Link has been severed
1133574320 R43-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43825, Link has been severed
1133574320 R43-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43824, Link has been severed
1133574321 R57-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44016, Link has been severed
1133574321 R57-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44025, Link has been severed
1133574321 R57-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44024, Link has been severed
1133574321 R57-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44021, Link has been severed
1133574321 R57-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44020, Link has been severed
1133574321 R57-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44023, Link has been severed
1133574322 R42-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43821, Link has been severed
1133574322 R42-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43820, Link has been severed
1133574322 R57-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44029, Link has been severed
1133574322 R57-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44028, Link has been severed
1133574322 R42-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43808, Link has been severed
1133574322 R52-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43941, Link has been severed
1133574322 R52-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43937, Link has been severed
1133574323 R52-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43936, Link has been severed
1133574323 R57-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44031, Link has been severed
1133574323 R57-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44030, Link has been severed
1133574323 R42-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43817, Link has been severed
1133574323 R42-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43816, Link has been severed
1133574323 R43-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43831, Link has been severed
1133574323 R43-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43830, Link has been severed
1133574324 R47-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43903, Link has been severed
1133574324 R47-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43902, Link has been severed
1133574324 R43-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43835, Link has been severed
1133574324 R43-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43834, Link has been severed
1133574324 R52-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43939, Link has been severed
1133574324 R52-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43938, Link has been severed
1133574325 R47-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43895, Link has been severed
1133574325 R47-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43894, Link has been severed
1133574325 R52-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43943, Link has been severed
1133574325 R52-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43942, Link has been severed
1133574325 R45-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43861, Link has been severed
1133574325 R45-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43860, Link has been severed
1133574325 R47-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43898, Link has been severed
1133574326 R43-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43829, Link has been severed
1133574326 R43-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43828, Link has been severed
1133574326 R47-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43901, Link has been severed
1133574326 R47-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43900, Link has been severed
1133574326 R42-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43810, Link has been severed
1133574326 R46-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43877, Link has been severed
1133574327 R46-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43881, Link has been severed
1133574327 R50-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43907, Link has been severed
