1132617896 R31-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43531, Connection reset by peer
1132617911 R25-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43471, Connection reset by peer
1132617911 R25-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43473, Connection reset by peer
1132617912 R21-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43407, Connection reset by peer
1132617912 R37-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43183, Connection reset by peer
1132617912 R23-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43437, Connection reset by peer
1132617912 R65-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43871, Connection reset by peer
1132617912 R65-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43727, Connection reset by peer
1132617912 R60-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43215, Connection reset by peer
1132617913 R30-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43513, Connection reset by peer
1132617913 R23-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43430, Connection reset by peer
1132617913 R57-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43863, Connection reset by peer
1132617913 R32-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43551, Connection reset by peer
1132617913 R65-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43731, Connection reset by peer
1132617913 R23-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43439, Connection reset by peer
1132617913 R23-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43433, Connection reset by peer
1132617914 R74-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43707, Connection reset by peer
1132617914 R74-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43733, Connection reset by peer
1132617914 R74-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43703, Connection reset by peer
1132617914 R72-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43637, Connection reset by peer
1132617914 R61-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43229, Connection reset by peer
1132617914 R73-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43687, Connection reset by peer
1132617914 R74-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43701, Connection reset by peer
1132617915 R70-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43227, Connection reset by peer
1132617915 R24-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43451, Connection reset by peer
1132617915 R70-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43223, Connection reset by peer
1132617915 R70-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43225, Connection reset by peer
1132617915 R72-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43623, Connection reset by peer
1132617915 R76-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43911, Connection reset by peer
1132617915 R73-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43655, Connection reset by peer
1132617916 R61-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43599, Connection reset by peer
1132617916 R50-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43671, Connection reset by peer
1132617916 R50-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43669, Connection reset by peer
1132617916 R23-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43431, Connection reset by peer
1132617916 R46-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44011, Connection reset by peer
1132617916 R60-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43199, Connection reset by peer
1132617916 R32-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43543, Connection reset by peer
1132617917 R50-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43711, Connection reset by peer
1132617917 R60-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43197, Connection reset by peer
1132617917 R62-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43631, Connection reset by peer
1132617917 R46-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:44007, Connection reset by peer
1132617917 R75-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43879, Connection reset by peer
1132617918 R10-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43281, Connection reset by peer
1132617918 R10-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43283, Connection reset by peer
1132617918 R16-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43367, Connection reset by peer
1132617918 R57-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43855, Connection reset by peer
1132617918 R13-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43327, Connection reset by peer
1132617918 R10-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43269, Connection reset by peer
1132617918 R10-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43271, Connection reset by peer
1132617919 R75-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43883, Connection reset by peer
1132617919 R15-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43361, Connection reset by peer
1132617919 R15-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43359, Link has been severed
1132617919 R16-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43371, Connection reset by peer
1132617919 R00-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43023, Connection reset by peer
1132617919 R12-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43303, Connection reset by peer
1132617919 R12-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43311, Connection reset by peer
1132617920 R16-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43379, Connection reset by peer
1132617920 R03-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43061, Connection reset by peer
1132617920 R00-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43015, Connection reset by peer
1132617920 R03-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43071, Connection reset by peer
1132617920 R16-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43375, Connection reset by peer
1132617920 R15-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43351, Connection reset by peer
1132617920 R11-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43291, Connection reset by peer
1132617921 R54-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43805, Connection reset by peer
1132617921 R11-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43285, Connection reset by peer
1132617921 R17-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43391, Connection reset by peer
1132617921 R04-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43081, Connection reset by peer
1132617921 R11-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43289, Connection reset by peer
1132617921 R11-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43295, Connection reset by peer
1132617922 R03-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43063, Connection reset by peer
1132617922 R11-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43299, Connection reset by peer
1132617922 R02-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43059, Connection reset by peer
1132617922 R17-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43389, Connection reset by peer
1132617922 R04-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43088, Connection reset by peer
1132617922 R17-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43387, Connection reset by peer
1132617923 R17-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43381, Connection reset by peer
1132617923 R07-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43129, Connection reset by peer
1132617923 R17-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43393, Connection reset by peer
1132617923 R71-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43239, Connection reset by peer
1132617923 R07-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43133, Connection reset by peer
1132617923 R02-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43058, Connection reset by peer
1132617923 R01-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43040, Connection reset by peer
1132617924 R02-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43045, Connection reset by peer
1132617924 R05-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43097, Connection reset by peer
1132617924 R01-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43031, Connection reset by peer
1132617924 R05-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43103, Connection reset by peer
1132617924 R05-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43101, Connection reset by peer
1132617924 R04-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43077, Connection reset by peer
1132617924 R13-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43331, Connection reset by peer
1132617925 R06-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43115, Connection reset by peer
1132617925 R06-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43123, Connection reset by peer
1132617925 R75-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43897, Connection reset by peer
1132617925 R17-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43383, Connection reset by peer
1132617925 R06-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43113, Connection reset by peer
1132617925 R75-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43893, Connection reset by peer
1132617926 R13-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:43323, Connection reset by peer
