1132609175 R37-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52699, Connection reset by peer
1132609186 R33-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53075, Connection reset by peer
1132609186 R42-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53301, Connection reset by peer
1132609186 R31-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53042, Connection reset by peer
1132609186 R43-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53483, Connection reset by peer
1132609187 R36-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52689, Connection reset by peer
1132609187 R22-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52937, Connection reset by peer
1132609187 R22-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52936, Connection reset by peer
1132609187 R26-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52997, Connection reset by peer
1132609187 R26-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52996, Connection reset by peer
1132609187 R31-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53040, Connection reset by peer
1132609188 R26-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52991, Connection reset by peer
1132609188 R26-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52990, Connection reset by peer
1132609188 R51-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53265, Connection reset by peer
1132609188 R20-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52769, Connection reset by peer
1132609188 R20-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52768, Connection reset by peer
1132609188 R31-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53044, Connection reset by peer
1132609189 R51-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53263, Connection reset by peer
1132609189 R30-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53029, Connection reset by peer
1132609189 R37-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52708, Connection reset by peer
1132609189 R50-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53226, Connection reset by peer
1132609189 R37-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52702, Connection reset by peer
1132609189 R24-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52966, Connection reset by peer
1132609190 R24-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52967, Connection reset by peer
1132609190 R37-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52705, Connection reset by peer
1132609190 R37-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52704, Connection reset by peer
1132609190 R20-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52776, Connection reset by peer
1132609190 R52-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53100, Connection reset by peer
1132609190 R33-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53081, Connection reset by peer
1132609191 R33-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53080, Connection reset by peer
1132609191 R21-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52919, Connection reset by peer
1132609191 R21-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52918, Connection reset by peer
1132609191 R24-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52961, Connection reset by peer
1132609191 R24-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52958, Connection reset by peer
1132609191 R45-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53503, Connection reset by peer
1132609192 R45-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53502, Connection reset by peer
1132609192 R66-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53400, Connection reset by peer
1132609192 R45-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53516, Connection reset by peer
1132609192 R45-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53509, Connection reset by peer
1132609192 R45-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53508, Connection reset by peer
1132609192 R20-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52771, Connection reset by peer
1132609192 R26-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53000, Connection reset by peer
1132609193 R27-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53009, Connection reset by peer
1132609193 R20-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52767, Connection reset by peer
1132609193 R20-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52766, Connection reset by peer
1132609193 R40-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53260, Connection reset by peer
1132609193 R67-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53430, Connection reset by peer
1132609193 R51-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53268, Connection reset by peer
1132609194 R65-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53239, Connection reset by peer
1132609194 R26-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53003, Connection reset by peer
1132609194 R63-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53162, Connection reset by peer
1132609194 R22-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52931, Connection reset by peer
1132609194 R63-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53180, Connection reset by peer
1132609194 R47-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53535, Connection reset by peer
1132609195 R47-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53534, Connection reset by peer
1132609195 R67-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53433, Connection reset by peer
1132609195 R56-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53364, Connection reset by peer
1132609195 R67-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53436, Connection reset by peer
1132609195 R41-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53282, Connection reset by peer
1132609195 R67-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53459, Connection reset by peer
1132609195 R24-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52973, Connection reset by peer
1132609196 R66-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53415, Connection reset by peer
1132609196 R66-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53405, Connection reset by peer
1132609196 R24-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52970, Connection reset by peer
1132609196 R52-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53098, Connection reset by peer
1132609196 R56-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53360, Connection reset by peer
1132609196 R50-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53228, Connection reset by peer
1132609197 R65-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53383, Connection reset by peer
1132609197 R47-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53539, Connection reset by peer
1132609197 R47-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53538, Connection reset by peer
1132609197 R33-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53079, Connection reset by peer
1132609197 R33-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53078, Connection reset by peer
1132609197 R21-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52925, Connection reset by peer
1132609197 R52-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53095, Connection reset by peer
1132609198 R36-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52693, Connection reset by peer
1132609198 R63-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53158, Connection reset by peer
1132609198 R66-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53399, Connection reset by peer
1132609198 R55-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53345, Connection reset by peer
1132609198 R64-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53213, Connection reset by peer
1132609198 R57-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53367, Connection reset by peer
1132609199 R33-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53071, Connection reset by peer
1132609199 R33-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53070, Connection reset by peer
1132609199 R34-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53087, Connection reset by peer
1132609199 R34-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53092, Connection reset by peer
1132609200 R34-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53089, Connection reset by peer
1132609200 R33-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53072, Connection reset by peer
1132609200 R34-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52657, Connection reset by peer
1132609200 R22-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52932, Connection reset by peer
1132609201 R57-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53371, Connection reset by peer
1132609201 R57-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53370, Connection reset by peer
1132609201 R25-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52975, Connection reset by peer
1132609201 R34-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52655, Connection reset by peer
1132609201 R34-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52654, Connection reset by peer
1132609201 R30-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53032, Connection reset by peer
1132609202 R57-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53379, Connection reset by peer
1132609202 R57-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53378, Connection reset by peer
1132609202 R42-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53294, Connection reset by peer
1132609202 R52-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52762, Connection reset by peer
1132609203 R25-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52981, Connection reset by peer
1132609203 R25-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52980, Connection reset by peer
1132609203 R25-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52983, Connection reset by peer
1132609203 R25-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52982, Connection reset by peer
1132609203 R34-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52661, Connection reset by peer
1132609204 R42-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53102, Connection reset by peer
1132609204 R47-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53542, Connection reset by peer
1132609204 R47-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53549, Connection reset by peer
1132609204 R47-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53548, Connection reset by peer
1132609205 R52-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52761, Connection reset by peer
1132609205 R64-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53209, Connection reset by peer
1132609205 R25-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52989, Connection reset by peer
1132609206 R31-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53051, Connection reset by peer
1132609206 R52-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52765, Connection reset by peer
1132609206 R21-M1-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52923, Connection reset by peer
1132609206 R22-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52941, Connection reset by peer
1132609207 R22-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52940, Connection reset by peer
1132609207 R64-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53207, Connection reset by peer
1132609207 R64-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53206, Connection reset by peer
1132609207 R47-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53545, Connection reset by peer
1132609207 R47-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53544, Connection reset by peer
1132609208 R21-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52915, Connection reset by peer
1132609208 R21-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52914, Connection reset by peer
1132609208 R21-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52911, Connection reset by peer
1132609208 R21-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52910, Connection reset by peer
1132609209 R26-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53004, Connection reset by peer
1132609209 R34-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53091, Connection reset by peer
1132609209 R34-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53090, Connection reset by peer
1132609209 R64-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53196, Connection reset by peer
1132609210 R64-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53211, Connection reset by peer
1132609210 R64-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53193, Connection reset by peer
1132609210 R64-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53192, Connection reset by peer
1132609211 R30-M1-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53031, Connection reset by peer
1132609211 R21-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52921, Connection reset by peer
1132609211 R21-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52920, Connection reset by peer
1132609211 R65-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53389, Connection reset by peer
1132609212 R67-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53460, Connection reset by peer
1132609212 R23-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52949, Connection reset by peer
1132609212 R23-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52948, Connection reset by peer
1132609212 R30-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53025, Connection reset by peer
1132609213 R30-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53024, Connection reset by peer
1132609213 R23-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52950, Connection reset by peer
1132609213 R65-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53384, Connection reset by peer
1132609213 R65-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53241, Connection reset by peer
1132609213 R65-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53240, Connection reset by peer
1132609214 R64-M0-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53195, Connection reset by peer
1132609214 R64-M0-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53194, Connection reset by peer
1132609214 R64-M0-N4 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53191, Connection reset by peer
1132609215 R23-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52956, Connection reset by peer
1132609215 R60-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52729, Connection reset by peer
1132609215 R60-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52728, Connection reset by peer
1132609216 R60-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52733, Connection reset by peer
1132609216 R30-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53027, Connection reset by peer
1132609216 R57-M1-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53377, Connection reset by peer
1132609217 R32-M1-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53064, Connection reset by peer
1132609217 R65-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53386, Connection reset by peer
1132609217 R23-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52947, Connection reset by peer
1132609217 R23-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52946, Connection reset by peer
1132609217 R74-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53251, Connection reset by peer
1132609218 R74-M0-NC J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53221, Connection reset by peer
1132609218 R74-M0-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53220, Connection reset by peer
1132609218 R74-M1-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53248, Connection reset by peer
1132609219 R74-M1-NC J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53252, Connection reset by peer
1132609219 R32-M1-N0 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53069, Connection reset by peer
1132609219 R32-M1-N0 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53068, Connection reset by peer
1132609219 R74-M0-N8 J18-U11  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53217, Connection reset by peer
1132609219 R74-M0-N8 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53216, Connection reset by peer
1132609220 R72-M0-N4 J18-U01  ciod: Error reading message prefix on CioStream socket to 172.16.96.116:53134, Connection reset by peer
